Entry,Ligand_name,Ligand_No,Ligand_smiles,Substrate_name,Substrate_No,Substrate_smiles,Yield
93,"1,3-bis[(di-tert-butylphosphino)oxy]benzene",L10,CC(P(C(C)(C)C)OC1=CC=CC(OP(C(C)(C)C)C(C)(C)C)=C1)(C)C,"4,4'-difluorobenzophenone",1d,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,3
94,"1,3-bis[(di-tert-butylphosphino)oxy]benzene",L10,CC(P(C(C)(C)C)OC1=CC=CC(OP(C(C)(C)C)C(C)(C)C)=C1)(C)C,acetophenone,1e,CC(C1=CC=CC=C1)=O,4
95,"1,3-bis[(di-tert-butylphosphino)oxy]benzene",L10,CC(P(C(C)(C)C)OC1=CC=CC(OP(C(C)(C)C)C(C)(C)C)=C1)(C)C,"2,2,2-trifluoroacetophenone",1f,O=C(C1=CC=CC=C1)C(F)(F)F,76
96,"1,3-bis[(di-tert-butylphosphino)oxy]benzene",L10,CC(P(C(C)(C)C)OC1=CC=CC(OP(C(C)(C)C)C(C)(C)C)=C1)(C)C,cyclohexyl_phenyl_ketone,1g,O=C(C1CCCCC1)C2=CC=CC=C2,2
97,"1,3-bis[(di-tert-butylphosphino)oxy]benzene",L10,CC(P(C(C)(C)C)OC1=CC=CC(OP(C(C)(C)C)C(C)(C)C)=C1)(C)C,alpha-tetralone,1h,O=C1CCCC2=CC=CC=C21,1
98,"1,3-bis[(di-tert-butylphosphino)oxy]benzene",L10,CC(P(C(C)(C)C)OC1=CC=CC(OP(C(C)(C)C)C(C)(C)C)=C1)(C)C,beta-tetralone,1i,O=C1CCC2=CC=CC=C2C1,0
99,"1,3-bis[(di-tert-butylphosphino)oxy]benzene",L10,CC(P(C(C)(C)C)OC1=CC=CC(OP(C(C)(C)C)C(C)(C)C)=C1)(C)C,dicyclohexyl_ketone,1j,O=C(C1CCCCC1)C2CCCCC2,0
100,dppf,L11,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.[Fe+2],benzophenone,1a,O=C(C1=CC=CC=C1)C2=CC=CC=C2,93
101,dppf,L11,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.[Fe+2],"4,4'-dimethylbenzophenone",1b,O=C(C1=CC=C(C)C=C1)C2=CC=C(C)C=C2,95
102,dppf,L11,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.[Fe+2],"4,4'-dimethoxybenzophenone",1c,O=C(C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC,91
103,dppf,L11,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.[Fe+2],"4,4'-difluorobenzophenone",1d,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,88
104,dppf,L11,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.[Fe+2],acetophenone,1e,CC(C1=CC=CC=C1)=O,80
105,dppf,L11,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.[Fe+2],"2,2,2-trifluoroacetophenone",1f,O=C(C1=CC=CC=C1)C(F)(F)F,86
106,dppf,L11,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.[Fe+2],cyclohexyl_phenyl_ketone,1g,O=C(C1CCCCC1)C2=CC=CC=C2,93
